id,year,Vyroba_e,p_elektrarny,vod_elektrarny,vet_elektrarny,sol_elektrarny,J_elektrarny
1,2010,85903,53574,3380,335,616,27998
2,2011,87477,53951,2664,397,2182,28283
3,2012,87418,51669,2860,416,2149,30324
4,2013,86913,50015,3639,481,2033,30745
5,2014,86148,50262,2961,477,2123,30325
6,2015,83892,51143,3071,573,2264,26841
7,2016,83309,53375,3202,497,2131,24104
8,2017,87050,52886,3040,591,2193,28340
9,2018,88032,52464,2679,609,2359,29921
10,2019,87031,50598,3175,700,2312,30246
11,2020,81517,45051,3437,699,2287,30043
12,2021,84907,47801,3620,602,2153,30731

